year,month,day,season,site,recording,start_s,end_s,scientific_name,common_name,confidence,category,observed
2021,7,6,passerine,14_37,20210706_061000,27,30,Colaptes auratus,Northern Flicker,0.29250973,"(0.25,0.3]",N
2021,7,6,passerine,14_37,20210706_061000,27,30,Colaptes auratus,Northern Flicker,0.29250973,"(0.25,0.3]",N
2021,7,6,passerine,14_37,20210706_061000,27,30,Colaptes auratus,Northern Flicker,0.29250973,"(0.25,0.3]",N
2021,7,4,passerine,N_22,20210704_055900,45,48,Colaptes auratus,Northern Flicker,0.28056246,"(0.25,0.3]",Y
2021,7,5,passerine,N_22,20210705_055600,27,30,Colaptes auratus,Northern Flicker,0.2709035,"(0.25,0.3]",Y
2021,7,13,passerine,14_40,20210713_065000,18,21,Colaptes auratus,Northern Flicker,0.28920743,"(0.25,0.3]",Y
2021,5,21,passerine,14_18,20210521_061100,39,42,Colaptes auratus,Northern Flicker,0.29405618,"(0.25,0.3]",N
2021,5,19,passerine,14_10,20210519_065500,51,54,Colaptes auratus,Northern Flicker,0.32220256,"(0.3,0.35]",Y
2021,7,6,passerine,14_16,20210706_055500,24,27,Colaptes auratus,Northern Flicker,0.3294336,"(0.3,0.35]",Y
2021,6,19,passerine,14_16,20210619_065500,15,18,Colaptes auratus,Northern Flicker,0.34461007,"(0.3,0.35]",Y
2021,5,20,passerine,14_10,20210520_062000,33,36,Colaptes auratus,Northern Flicker,0.30218887,"(0.3,0.35]",Y
2021,6,27,passerine,N_22,20210627_063000,6,9,Colaptes auratus,Northern Flicker,0.34711346,"(0.3,0.35]",Y
2021,6,28,passerine,14_25,20210628_054500,48,51,Colaptes auratus,Northern Flicker,0.3195923,"(0.3,0.35]",Y
2021,6,2,passerine,N_14,20210602_043000,42,45,Colaptes auratus,Northern Flicker,0.33659092,"(0.3,0.35]",Y
2021,6,27,passerine,N_22,20210627_063000,6,9,Colaptes auratus,Northern Flicker,0.34711346,"(0.3,0.35]",Y
2021,7,5,passerine,14_16,20210705_061000,45,48,Colaptes auratus,Northern Flicker,0.32506388,"(0.3,0.35]",Y
2021,5,20,passerine,14_10,20210520_051500,15,18,Colaptes auratus,Northern Flicker,0.33569494,"(0.3,0.35]",Y
2021,7,7,passerine,N_16,20210707_064000,18,21,Colaptes auratus,Northern Flicker,0.35442615,"(0.35,0.4]",Y
2021,5,23,passerine,14_25,20210523_055000,24,27,Colaptes auratus,Northern Flicker,0.3785421,"(0.35,0.4]",Y
2021,7,8,passerine,N_22,20210708_053300,12,15,Colaptes auratus,Northern Flicker,0.3572851,"(0.35,0.4]",Y
2021,7,8,passerine,N_22,20210708_053300,12,15,Colaptes auratus,Northern Flicker,0.3572851,"(0.35,0.4]",Y
2021,7,7,passerine,N_16,20210707_064000,18,21,Colaptes auratus,Northern Flicker,0.35442615,"(0.35,0.4]",Y
2021,7,7,passerine,N_16,20210707_064000,18,21,Colaptes auratus,Northern Flicker,0.35442615,"(0.35,0.4]",Y
